# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	0	0	0	79	0	0	21	0	0	0	0	58
M	GU280_gp05	GU280_gp05	protein_coding	0	1	3	75	0	0	17	0	3	0	1	58
N	GU280_gp10	GU280_gp10	protein_coding	1	1	6	38	0	1	1	0	5	1	1	37
ORF10	GU280_gp11	GU280_gp11	protein_coding	0	0	0	30	0	0	1	0	0	0	0	29
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	0	10	20	60	1	0	58	0	19	0	10	2
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	0	6	15	9	1	0	7	0	14	0	6	2
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	0	0	1	6	0	0	4	0	1	0	0	2
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	0	0	0	7	0	0	4	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	0	2	2	19	0	0	16	0	2	0	2	3
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	0	1	9	10	0	0	8	0	9	0	1	2
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	0	2	2	17	0	0	7	0	2	0	2	10
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	0	0	1	20	1	0	6	0	0	0	0	14
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	0	0	0	21	0	0	6	0	0	0	0	15
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	0	0	0	22	0	0	7	0	0	0	0	15
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	0	1	0	21	0	0	6	0	0	0	1	15
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	0	0	23	0	0	7	0	0	0	0	16
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	0	3	2	20	0	0	4	0	2	0	3	16
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	0	0	1	37	0	0	30	0	1	0	0	7
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	0	0	1	57	0	0	51	0	1	0	0	6
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	0	1	1	58	0	0	53	0	1	0	1	5
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	0	0	0	65	0	0	58	0	0	0	0	7
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	0	23	0	0	7	0	0	0	0	16
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	0	0	1	6	0	0	4	0	1	0	0	2
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	0	0	0	7	0	0	4	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	0	2	2	19	0	0	16	0	2	0	2	3
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	0	1	9	10	0	0	8	0	9	0	1	2
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	0	2	2	17	0	0	7	0	2	0	2	10
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	0	0	1	20	1	0	6	0	0	0	0	14
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	0	0	0	21	0	0	6	0	0	0	0	15
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	0	0	0	22	0	0	7	0	0	0	0	15
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	0	1	0	21	0	0	6	0	0	0	1	15
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	0	0	23	0	0	7	0	0	0	0	16
ORF3a	GU280_gp03	GU280_gp03	protein_coding	0	3	5	71	0	0	21	0	5	0	3	50
ORF6	GU280_gp06	GU280_gp06	protein_coding	0	2	4	67	0	0	11	0	4	0	2	56
ORF7a	GU280_gp07	GU280_gp07	protein_coding	0	0	0	73	0	0	11	0	0	0	0	62
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	1	0	67	0	0	10	0	0	0	1	57
ORF8	GU280_gp09	GU280_gp09	protein_coding	0	0	0	60	0	0	10	0	0	0	0	50
S	GU280_gp02	GU280_gp02	protein_coding	1	4	45	33	0	1	29	1	44	0	4	4
